path,class_id
../data/esc_50/audio/0/1-100032-A-0.wav,0
../data/esc_50/audio/0/1-110389-A-0.wav,0
../data/esc_50/audio/0/1-30226-A-0.wav,0
../data/esc_50/audio/0/1-30344-A-0.wav,0
../data/esc_50/audio/0/1-32318-A-0.wav,0
../data/esc_50/audio/0/1-59513-A-0.wav,0
../data/esc_50/audio/0/1-85362-A-0.wav,0
../data/esc_50/audio/0/1-97392-A-0.wav,0
../data/esc_50/audio/1/1-26806-A-1.wav,1
../data/esc_50/audio/1/1-27724-A-1.wav,1
../data/esc_50/audio/1/1-34119-A-1.wav,1
../data/esc_50/audio/1/1-34119-B-1.wav,1
../data/esc_50/audio/1/1-39923-A-1.wav,1
../data/esc_50/audio/1/1-40730-A-1.wav,1
../data/esc_50/audio/1/1-43382-A-1.wav,1
../data/esc_50/audio/1/1-44831-A-1.wav,1
../data/esc_50/audio/10/1-17367-A-10.wav,2
../data/esc_50/audio/10/1-21189-A-10.wav,2
../data/esc_50/audio/10/1-26222-A-10.wav,2
../data/esc_50/audio/10/1-29561-A-10.wav,2
../data/esc_50/audio/10/1-50060-A-10.wav,2
../data/esc_50/audio/10/1-54958-A-10.wav,2
../data/esc_50/audio/10/1-56311-A-10.wav,2
../data/esc_50/audio/10/1-63871-A-10.wav,2
../data/esc_50/audio/11/1-28135-A-11.wav,3
../data/esc_50/audio/11/1-28135-B-11.wav,3
../data/esc_50/audio/11/1-39901-A-11.wav,3
../data/esc_50/audio/11/1-39901-B-11.wav,3
../data/esc_50/audio/11/1-43760-A-11.wav,3
../data/esc_50/audio/11/1-61252-A-11.wav,3
../data/esc_50/audio/11/1-91359-A-11.wav,3
../data/esc_50/audio/11/1-91359-B-11.wav,3
../data/esc_50/audio/12/1-17150-A-12.wav,4
../data/esc_50/audio/12/1-17565-A-12.wav,4
../data/esc_50/audio/12/1-17742-A-12.wav,4
../data/esc_50/audio/12/1-17808-A-12.wav,4
../data/esc_50/audio/12/1-17808-B-12.wav,4
../data/esc_50/audio/12/1-4211-A-12.wav,4
../data/esc_50/audio/12/1-46272-A-12.wav,4
../data/esc_50/audio/12/1-7057-A-12.wav,4
../data/esc_50/audio/13/1-57316-A-13.wav,5
../data/esc_50/audio/13/1-57318-A-13.wav,5
../data/esc_50/audio/13/1-59102-A-13.wav,5
../data/esc_50/audio/13/1-65483-A-13.wav,5
../data/esc_50/audio/13/1-7456-A-13.wav,5
../data/esc_50/audio/13/1-80840-A-13.wav,5
../data/esc_50/audio/13/1-80841-A-13.wav,5
../data/esc_50/audio/13/1-9841-A-13.wav,5
../data/esc_50/audio/14/1-100038-A-14.wav,6
../data/esc_50/audio/14/1-34495-A-14.wav,6
../data/esc_50/audio/14/1-34497-A-14.wav,6
../data/esc_50/audio/14/1-38559-A-14.wav,6
../data/esc_50/audio/14/1-38560-A-14.wav,6
../data/esc_50/audio/14/1-46040-A-14.wav,6
../data/esc_50/audio/14/1-54918-A-14.wav,6
../data/esc_50/audio/14/1-54918-B-14.wav,6
../data/esc_50/audio/15/1-12653-A-15.wav,7
../data/esc_50/audio/15/1-12654-A-15.wav,7
../data/esc_50/audio/15/1-12654-B-15.wav,7
../data/esc_50/audio/15/1-16746-A-15.wav,7
../data/esc_50/audio/15/1-23094-A-15.wav,7
../data/esc_50/audio/15/1-23094-B-15.wav,7
../data/esc_50/audio/15/1-50623-A-15.wav,7
../data/esc_50/audio/15/1-90797-A-15.wav,7
../data/esc_50/audio/16/1-137296-A-16.wav,8
../data/esc_50/audio/16/1-29532-A-16.wav,8
../data/esc_50/audio/16/1-47709-A-16.wav,8
../data/esc_50/audio/16/1-47714-A-16.wav,8
../data/esc_50/audio/16/1-51035-A-16.wav,8
../data/esc_50/audio/16/1-51036-A-16.wav,8
../data/esc_50/audio/16/1-51037-A-16.wav,8
../data/esc_50/audio/16/1-69760-A-16.wav,8
../data/esc_50/audio/17/1-118559-A-17.wav,9
../data/esc_50/audio/17/1-50625-A-17.wav,9
../data/esc_50/audio/17/1-50688-A-17.wav,9
../data/esc_50/audio/17/1-51433-A-17.wav,9
../data/esc_50/audio/17/1-51436-A-17.wav,9
../data/esc_50/audio/17/1-61221-A-17.wav,9
../data/esc_50/audio/17/1-67152-A-17.wav,9
../data/esc_50/audio/17/1-79220-A-17.wav,9
../data/esc_50/audio/18/1-20736-A-18.wav,10
../data/esc_50/audio/18/1-28005-A-18.wav,10
../data/esc_50/audio/18/1-30214-A-18.wav,10
../data/esc_50/audio/18/1-46274-A-18.wav,10
../data/esc_50/audio/18/1-51170-A-18.wav,10
../data/esc_50/audio/18/1-53670-A-18.wav,10
../data/esc_50/audio/18/1-54752-A-18.wav,10
